,Evalaution Turn,iterations,success,fitness,position
171,172,324.0,1,10.0,[3.29350702e-09 2.74257924e-10 2.59928065e+02]
172,173,300.0,1,10.0,[ 2.61831868e-10  8.41019312e-10 -2.14964035e+02]
173,174,291.0,1,10.0,[-3.22800192e-09 -9.66521631e-10 -7.71784364e+03]
174,175,345.0,1,10.0,[-3.14883667e-09  5.23718176e-10  9.63793315e-01]
175,176,254.0,1,10.0,[-2.87744667e-09  1.39165318e-09  1.09512591e+04]
176,177,273.0,1,10.0,[ 1.22340382e-09  1.43558663e-09 -1.77940475e+03]
177,178,334.0,1,10.0,[ 9.45479825e-10 -1.65773742e-10  1.42665045e+03]
178,179,332.0,1,10.0,[ 2.01668679e-09 -8.13421306e-10  1.26985209e+05]
179,180,277.0,1,10.0,[-1.41348327e-09  1.32892999e-09  1.14910925e+05]
180,181,281.0,1,10.0,[ 1.69560048e-09 -7.60926428e-10 -3.31669915e+06]
181,182,300.0,1,10.0,[-3.48241975e-09  1.24420827e-09  2.40607151e+02]
182,183,283.0,1,10.0,[-1.75679017e-09  1.20896422e-09  2.73270503e+04]
183,184,302.0,1,10.0,[ 3.47415718e-09 -3.75273026e-10 -8.09257656e+06]
184,185,276.0,1,10.0,[-2.36088515e-09 -1.67484836e-09 -4.32721645e+05]
185,186,,0,,
186,187,290.0,1,10.0,[ 2.26718038e-09  5.11354576e-11 -4.56120191e+06]
187,188,329.0,1,10.0,[5.16379193e-10 1.46176694e-09 3.31716096e+04]
188,189,292.0,1,10.0,[-2.17847658e-09 -3.06232977e-10 -2.39810041e+08]
189,190,324.0,1,10.0,[-2.55892751e-09  1.13710757e-09 -3.99715292e+02]
190,191,311.0,1,10.0,[-3.69608887e-09  5.22285401e-10  5.58100791e+04]
191,192,306.0,1,10.0,[-5.56509349e-10 -1.00073238e-09 -4.20618796e+06]
192,193,333.0,1,10.0,[ 1.17715144e-09  1.67203636e-09 -3.29572821e+03]
193,194,226.0,1,10.0,[ 4.11556161e-10 -1.37624128e-09 -4.76868735e+03]
194,195,323.0,1,10.0,[ 2.94134566e-09 -1.42370839e-10  3.68802242e+02]
195,196,246.0,1,10.0,[-1.88029061e-09 -7.33014145e-10 -3.25773704e+05]
196,197,258.0,1,10.0,[-2.36876549e-09  1.66504973e-09 -3.46564390e+05]
197,198,259.0,1,10.0,[-2.83494099e-09 -1.39407247e-09  7.58015062e+04]
198,199,316.0,1,10.0,[-3.85017519e-10  4.43447926e-10 -4.79114033e+01]
