,Evalaution Turn,iterations,success,fitness,position
165,166,90,1,2.1570779552367604e-09,[3.61804125e-05 2.91213960e-05 1.10617651e+03]
166,167,67,1,8.136251248815897e-09,[-8.99571791e-05  6.63002096e-06  1.52064387e+02]
167,168,76,1,1.9800891308583264e-09,[4.40702653e-05 6.15636647e-06 1.51777556e+02]
168,169,84,1,8.979401214894478e-09,[ 7.79567354e-05 -5.38715938e-05 -1.39120389e+01]
169,170,81,1,8.710264747107079e-10,[ 2.70568507e-07 -2.95119174e-05  3.49210901e+01]
170,171,99,1,3.5588533042038148e-09,[ 4.78643608e-05 -3.56069694e-05 -5.12593400e+00]
171,172,51,1,8.972058028465258e-09,[-1.29927686e-05  9.38256148e-05  8.42280884e+01]
172,173,79,1,2.269073623147752e-09,[-2.36092919e-05 -4.13723937e-05  1.04136634e+04]
173,174,75,1,5.6594397394047825e-09,[ 3.49065432e-05  6.66406256e-05 -1.06711520e+02]
174,175,83,1,2.822135478198202e-09,[ 1.78208562e-05 -5.00455049e-05  1.39240514e+05]
175,176,80,1,3.363744441043039e-10,[ 1.29683751e-05 -1.29690282e-05 -2.78632517e+01]
176,177,59,1,8.550170220026216e-09,[8.67049646e-05 3.21312827e-05 3.37767328e+03]
177,178,85,1,4.7613572698672224e-09,[ 6.05845472e-05  3.30283198e-05 -6.28874049e+01]
178,179,52,1,7.499662743020548e-09,[8.29938417e-05 2.47322661e-05 7.19215202e+02]
179,180,54,1,7.807477155936987e-09,[ 4.51098301e-05  7.59774992e-05 -2.68011995e+00]
180,181,76,1,9.52639239826203e-09,[-8.79149959e-05 -4.23951163e-05  5.04021804e+02]
181,182,94,1,1.1098874947119928e-09,[ 2.25263223e-05 -2.45449037e-05  1.30975078e+01]
182,183,76,1,2.2674116547187315e-09,[-1.49259874e-05  4.52175470e-05  2.05704189e+02]
183,184,80,1,3.6571717044123437e-09,[-4.47752779e-05 -4.06490615e-05 -1.48546039e+02]
184,185,65,1,6.176719782236873e-10,[ 2.23098624e-06  2.47526701e-05 -3.43687483e+03]
185,186,90,1,1.1310523634319024e-09,[ 3.15679512e-05 -1.15981387e-05  9.54516473e+02]
186,187,69,1,5.018803803837225e-09,[ 2.03493809e-05 -6.78579877e-05  1.67979514e+02]
187,188,74,1,1.7943908968020845e-09,[-3.26703557e-05 -2.69636562e-05 -7.22488407e+01]
188,189,52,1,8.965938245691581e-10,[ 1.94130465e-05 -2.27975317e-05 -1.80685825e+04]
189,190,68,1,7.454989169002432e-09,[ 6.50993050e-06  8.60965155e-05 -1.19693515e+01]
190,191,62,1,6.67968248864406e-09,[ 3.88456235e-05  7.19075798e-05 -1.41953932e+03]
191,192,66,1,2.7089897006064314e-09,[-1.96702950e-06  5.20107729e-05 -7.15164306e+01]
192,193,79,1,7.290598071809847e-09,[ 8.31036533e-05 -1.96056339e-05  3.53055810e+01]
193,194,80,1,7.022880052556054e-09,[ 6.64393811e-05  5.10753236e-05 -1.21173171e+01]
194,195,84,1,6.896286074191018e-09,[ 3.10632587e-05  7.70153234e-05 -4.72974033e+02]
195,196,92,1,4.2001519784053765e-09,[ 5.92129841e-05  2.63433956e-05 -1.73139534e+02]
196,197,87,1,5.697242017989124e-09,[7.34707895e-05 1.72998584e-05 1.36057452e+03]
197,198,73,1,3.767806714910298e-09,[-5.79863296e-06  6.11079583e-05 -5.19051592e+02]
198,199,69,1,8.054765763383902e-09,[5.15053847e-05 7.34980347e-05 7.85513929e+01]
