,Evalaution Turn,iterations,success,fitness,position
113,114,317.0,1,10.0,[ 1.92754945e-09 -1.43206988e-09  5.06276763e+03]
114,115,238.0,1,10.0,[-8.34735621e-10 -2.42006853e-10 -3.22803717e+03]
115,116,281.0,1,10.0,[-3.62599885e-09  3.20922511e-10  1.33057587e+03]
116,117,272.0,1,10.0,[ 4.87376583e-11  7.27774628e-10 -3.97031627e+02]
117,118,247.0,1,10.0,[-1.22352427e-09  4.85212838e-10 -3.80166158e+03]
118,119,268.0,1,10.0,[ 2.23135751e-09  6.40963465e-11 -2.15712956e+03]
119,120,241.0,1,10.0,[-3.62532548e-09 -6.13479578e-10  1.16379004e+04]
120,121,283.0,1,10.0,[-3.43404275e-09  1.43130690e-09 -6.65373357e+06]
121,122,275.0,1,10.0,[ 6.56739821e-10 -7.86656498e-10  2.20657661e+03]
122,123,275.0,1,10.0,[-1.52882057e-09  6.06093177e-10  6.43176860e+04]
123,124,264.0,1,10.0,[ 1.47954110e-09 -2.39850358e-10  2.69433435e+05]
124,125,225.0,1,10.0,[-3.67753354e-09  9.36022521e-11 -4.13003019e+03]
125,126,292.0,1,10.0,[ 2.87170671e-09 -1.05437394e-09  4.13716964e+07]
126,127,300.0,1,10.0,[-3.34279110e-09 -1.09711191e-09  3.90258192e+05]
127,128,268.0,1,10.0,[-8.13761882e-10  1.06667240e-09  2.65918366e+04]
128,129,248.0,1,10.0,[2.52619259e-09 1.44868893e-09 1.11354679e+07]
129,130,290.0,1,10.0,[2.64137575e-09 6.39764046e-10 1.32308675e+04]
130,131,281.0,1,10.0,[2.62953648e-09 1.96474471e-10 1.61759874e+01]
131,132,268.0,1,10.0,[-2.92905977e-09 -1.02265066e-09 -2.99991567e+03]
132,133,252.0,1,10.0,[-2.69038540e-10 -1.53833126e-09 -5.67361798e+04]
133,134,253.0,1,10.0,[-1.16507966e-09  1.78209228e-10  1.05960142e+01]
134,135,258.0,1,10.0,[ 1.60517821e-09 -1.26021256e-09 -3.51243256e+04]
135,136,279.0,1,10.0,[-2.44642618e-09 -3.16274654e-10 -2.38657152e+04]
136,137,288.0,1,10.0,[ 7.11179264e-11 -4.31441884e-10  1.18889249e+04]
137,138,324.0,1,10.0,[ 2.47750797e-09 -5.46765774e-10  5.09064469e+03]
138,139,264.0,1,10.0,[-3.50871845e-09  8.24850420e-10  7.26687380e+03]
139,140,263.0,1,10.0,[1.38746939e-09 1.37915134e-09 9.38922123e+05]
140,141,243.0,1,10.0,[ 1.34564198e-09  1.54235720e-09 -6.79501915e+00]
141,142,224.0,1,10.0,[-1.53529334e-09  1.17002689e-10 -8.28101857e+05]
142,143,254.0,1,10.0,[2.18155343e-09 1.31741721e-09 7.52815516e+02]
143,144,262.0,1,10.0,[-2.72053620e-09  1.34218788e-09  2.57588422e+03]
